Channel	Baseline	Amplitude	Gain
0	8179.71	5141.24	1966.43
1	10221.6	3695.4	1413.42
2	7991.22	5270.76	2015.97
3	6896.27	5682	2173.26
4	7517.52	5764.14	2204.68
5	7356.73	5863.7	2242.76
6	7293.1	5742.33	2196.34
7	7928.45	5933.38	2269.41
8	7769.76	5754.65	2201.05
9	6922.73	5823.09	2227.23
10	7787	5756.9	2201.91
11	8484.47	5095.82	1949.06
12	8539.84	4949.46	1893.08
13	7468.52	5909.82	2260.4
14	7858	5619.33	2149.3
15	6770.73	5818.09	2225.32
16	7798	5927.25	2267.07
17	7708.27	5912.64	2261.48
18	8078.28	5477.06	2094.88
19	7252.39	6095.25	2331.33
20	8123.5	5357	2048.96
21	7913	5650.12	2161.07
22	7846.06	5907.94	2259.68
23	7844.04	5879.57	2248.83
24	7875	5723.93	2189.3
25	7890.28	5920.14	2264.35
26	8867.83	5226.57	1999.07
27	7267.8	5921	2264.68
28	4644.64	5430	2076.88
29	7576.6	5806.1	2220.73
30	7966.4	4566.23	1746.5
31	7613.6	4893.73	1871.76
32	7113.18	5772.65	2207.94
33	7809.5	5753.56	2200.63
34	6916.55	5819.95	2226.03
35	7830.18 5716.84 2186.59
36	7968.62	5383.95	2059.27
37	7517.8	5243.55	2005.57
38	7822.88	5796.5	2217.06
39	8124.91	5261.31	2012.36
