Det#     x     y     z
0     0     0     5.4
1     0     0     -4.95
2     0     0     -17.65
3     11     0     7.509
4     11     0     1.705
5     11     0     -3.817
6     11     0     -9.627
7     11     0     -15.2715
8     11     0     -21.0575
9     11     0     -30.7939
10     11     0     -27.5295
11     5.5     9.52628     2.9
12     5.5     9.52628     -10.3
13     5.5     9.52628     -24
14     -5.5     9.52628     3.53155
15     -5.5     9.52628     6.92145
16     -5.5     9.52628     -6.38445
17     -5.5     9.52628     -3.07555
18     -5.5     9.52628     -12.6125
19     -5.5     9.52628     -17.8775
20     -5.5     9.52628     -27.2434
21     -5.5     9.52628     -23.8545
22     -11     1.34711e-15     3.69155
23     -11     1.34711e-15     7.06995
24     -11     1.34711e-15     -2.5555
25     -11     1.34711e-15     -7.936
26     -11     1.34711e-15     -13.389
27     -11     1.34711e-15     -18.983
28     -11     1.34711e-15     -24.587
29     -11     1.34711e-15     -29.9395
30     -5.5     -9.52628     3
31     -5.5     -9.52628     -10.3
32     -5.5     -9.52628     -21.65
33     5.5     -9.52628     3.63405
34     5.5     -9.52628     6.98695
35     5.5     -9.52628     -2.248
36     5.5     -9.52628     -7.456
37     5.5     -9.52628     -12.794
38     5.5     -9.52628     -18.333
39     5.5     -9.52628     -25.3
