Det#    ID	x	y	Z	Baseline        Amplitude	Gain
0	GTF112  0	0	5.4     8179.71 5141.24 1966.43
1	GTF32   0	0	-4.95   10221.6 3695.4  1413.42
2	GTF45   0	0	-17.65  7991.22 5270.76 2015.97
11	ANG5    5.5     9.52628 2.9     8484.47 5095.82 1949.06
12	RG1     5.5     9.52628 -10.3   8539.84 4949.46 1893.08
13	ANG3    5.5     9.52628 -24     7468.52 5909.82 2260.4
30	ANG2    -5.5    -9.52628        3	7966.4  4566.23 1746.5
31	RG2     -5.5    -9.52628        -10.3   7613.6  4893.73 1871.76
32	ANG4    -5.5    -9.52628        -21.65  7113.18 5772.65 2207.94
39	ANG1    5.5     -9.52628        -25.3   8124.91 5261.31 2012.36

