Det#	ID	x	y	Z	Baseline	Amplitude	Gain 
0	GTF112	0	0	5.4	8179.71	5141.24	1966.43	1
1	GTF32   0	0	-4.95   10221.6 3695.4  1413.42 1
2	GTF45	0	0	-17.65	7991.22	5270.76	2015.97	1
3	GD91A	11	0	7.509	6896.27	5682	2173.26 1
4	GD35B	11	0	1.705	7517.52	5764.14	2204.68 1
5	GD02B	11	0	-3.817	7356.73	5863.7	2242.76 1
6	GD00B	11	0	-9.627	7293.1	5742.33	2196.34	1
7	GD61A	11	0	-15.2715	7928.45	5933.38	2269.41	1
8	GD89B	11	0	-21.0575	7769.76	5754.65	2201.05	1
9	GD02D	11	0	-30.7939	6922.73	5823.09	2227.23	-1
10	GD91C	11	0	-27.5295	7787	5756.9	2201.91	1
11	ANG5	5.5	9.52628	2.9	8484.47	5095.82	1949.06	1
12	RG1	5.5	9.52628	-10.3	8539.84	4949.46	1893.08	1
13	ANG3	5.5	9.52628	-24	7468.52	5909.82	2260.4	1
14	GD02A	-5.5	9.52628	3.53155	7858	5619.33	2149.3	-1
15	GD32B	-5.5	9.52628	6.92145	6770.73	5818.09	2225.32	1
16	GD32A	-5.5	9.52628	-6.38445	7798	5927.25	2267.07	-1
17	GD32C	-5.5	9.52628	-3.07555	7708.27	5912.64	2261.48	1
18	GD89C	-5.5	9.52628	-12.6125	8078.28	5477.06	2094.88	1
19	GD61C	-5.5	9.52628	-17.8775	7252.39	6095.25	2331.33	1
20	GD76B	-5.5	9.52628	-27.2434	8123.5	5357	2048.96	-1
21	GD00C	-5.5	9.52628	-23.8545	7913	5650.12	2161.07	1
22	GD35C	-11	1.35E-15	3.69155	7846.06	5907.94	2259.68	-1
23	GD76C	-11	1.35E-15	7.06995	7844.04	5879.57	2248.83	1
24	GD89D	-11	1.35E-15	-2.5555	7875	5723.93	2189.3	1
25	GD00D	-11	1.35E-15	-7.936	7890.28	5920.14	2264.35	1
26	GD79C	-11	1.35E-15	-13.389	8867.83	5226.57	1999.07	1
27	GD35A	-11	1.35E-15	-18.983	7267.8	5921	2264.68	1
28	GD91B	-11	1.35E-15	-24.587	4644.64	5430	2076.88	1
29	GD61B	-11	1.35E-15	-29.9395	7576.6	5806.1	2220.73	1
30	ANG2	-5.5	-9.52628	3	7966.4	4566.23	1746.5	1
31	RG2	-5.5	-9.52628	-10.3	7613.6	4893.73	1871.76	1
32	ANG4	-5.5	-9.52628	-21.65	7113.18	5772.65	2207.94	1
33	GD00A	5.5	-9.52628	3.63405	7809.5	5753.56	2200.63	-1
34	GD02C	5.5	-9.52628	6.98695	6916.55	5819.95	2226.03	1	
35	GD79B	5.5	-9.52628	-2.248	7830.18	5716.84	2186.59	1
36	GD91D	5.5	-9.52628	-7.456	7968.62	5383.95	2059.27	1
37	GD32D	5.5	-9.52628	-12.794	7517.8	5243.55	2005.57	1
38	GD89A	5.5	-9.52628	-18.333	7822.88	5796.5	2217.06	1
39	ANG1	5.5	-9.52628	-25.3	8124.91	5261.31	2012.36	1
